名称,工艺功能,位置,电源功能,设备编码
卷帘门插座,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N5.XD02,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN04,,,
XBDZ-3.6（风机）: K4-3,=TA001.TL01.BF01.GQ03,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F3.SF01.,AF0103
卫生间,,++BF01.US04,,BF01US04
3#出水电动闸门 ZM7,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.5,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.8.XD01,PS0115
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA13,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG03.,SSL0201
弱电桥架3配件,=TA001.EY01.TY01.RF.UN10,,,
淋浴房喷头,=TA001.ST01.TS01.PT01,++BF01.US04.,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.13,
0.4KV馈线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.,LDC0301
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0107,++BF02.US02.,,FLS0107
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA14,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG02.,SSL0413
智能感温探测器,=TA001.TB01.FA01.BF01.US02.BT01,++BF01.US02.,,MDS0119
W通用管件,=TA001.ST01.TT01.UN.UN05,,,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ02,++BF01.US10.,,ISD0112
管理房空调配电箱 KX,=TA001.EY01.TE03.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.,DB0301
动力桥架配件,=TA001.EY01.TY01.PF,,,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN16,,,
J通用管件,=TA001.ST01.TS01.UN.UN08,,,
水龙头,=TA001.ST01.TS01.LT01,++BF01.US04.,,
变压器室1走道电话、网络系统,=TA001.TB01.TN01.BF01.US08,,,
变压器室2,,++BF01.US10,,BF01US10
雨水泵_GK1-1,=TA001.BJ01.PP01.GP01,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O.1.1.1.,CP0101
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ06,,,ISD0103
一位单控暗开关,=TA001.EY01.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F2.SF01,
雨量计2: 雨量计2,=TA001.BJ01.RN00.RT02,,,RG0102
超声波液位计LT2,=TA001.BJ01.TS01.BL02,++BF02.US02.,,ULG0102
4#出水电动闸门 ZM8,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.6,
J三通管件,=TA001.ST01.TS01.UN.UN37,,,
变压器室1电话、网络系统,=TA001.TB01.TN01.BF01.US07,,,
10KV进线柜,=TA001.EY01.TE01.,++BF01.US06.,===DY1.,HSC0401
J通用管件,=TA001.ST01.TS01.UN.UN26,,,
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA06,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0406
0.4KV无功补偿柜,=TA001.EY01.TE02.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.3.,LDC0202
变压器室1,,++BF01.US07,,BF01US07
电话、网络系统,=TA001.TB01.TN01,,,
J三通管件,=TA001.ST01.TS01.UN.UN35,,,
管型母线桥架,=TA001.EY01.TY01.QJ5,,,
雨篷照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5,
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US08.PJ01,++BF01.US08.,,
管井5,,++BG01.GJ05,,GJ05
一位单控暗开关,=TA001.EY01.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F5.SF01,
壁灯 - 托架: BMX1-N3,=TA001.EY01.TE04.BF02.EA16,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N3.,AGL0118
水泵软启柜 RQ1,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O.1.,
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA17,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG07.,SSL0207
W通用管件,=TA001.ST01.TT01.UN.UN10,,,
输入模块: 标准,=TA001.TB01.FA01.BF01.US10.KF01,++BF01.US10.,,
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA02,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0402
管井3,,++BG01.GJ03,,GJ03
照明灯具: SMX1-N1,=TA001.EY01.TE04.BF01.US05.EA01,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01.,FPL0112
庭院灯: WMX-N3,=TA001.EY01.TE04.BG01.EA10,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N3.,GL0105
10KV计量柜,=TA001.EY01.TE01.,++BF01.US06.,===DY1.,HSC0501
PLC 柜门,,,,
一位单控暗开关,=TA001.EY01.,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F3.SF01,
控制室照明系统,=TA001.EY01.TE04.BF01.US05,,,
变配电间及管理房电话、网络系统,=TA001.TB01.TN01.BF01,,,
监控器,=TA001.TB01.VS01.AF06,++BF01.US09.,,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ14,,,ISD0114
视频通信柜 K2,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.5,
照明灯具: SMX1-N2,=TA001.EY01.TE04.BF01.US05.EA08,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0110
1-2轴泵房照明2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N2,
声光报警器,=TA001.TB01.FA01.BF02.SG04,++BF02.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG01,MDS0106
浮球液位开关4,=TA001.BJ01.TS01.BL12,++BF02.,,
管理房插座配电箱 CZX1,=TA001.EY01.TE03.,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.,DB0201
视频监控系统,=TA001.TB01.VS01,,,
泵站,,++BF02,,
休息室1照明系统,=TA001.EY01.TE04.BF01.US02,,,
室内半球,=TA001.TB01.VS01.AF12,++BF01.US06.,,CCTV0102
一位单控暗开关,=TA001.EY01.,++BF01.US10.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F6.SF01,
管理房检修箱 JX2,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.7,
电缆夹层照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N4,
W通用管件,=TA001.ST01.TT01.UN.UN02,,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.9,
壁灯 - 托架: BMX2-N1,=TA001.EY01.TE04.BF02.EA03,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N1.,AGL0113
工艺系统 测量,=TA001.BJ01.TS01,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01,MDS0101
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF23,,,
泵站检修箱 JX3,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.6.1,MB0201
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF03,,,MFAB0103
J通用管件,=TA001.ST01.TS01.UN.UN16,,,
语音+数据点,=TA001.TB01.TN01.BF01.US05.TD03,++BF01.US05.,,
起重机配电箱 P3,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.3,
地板单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N1.XD01,PS0201
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.11,
变压器ZB1温控装置,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.1,
语音+数据点,=TA001.TB01.TN01.BF01.US10.TD02,++BF01.US10.,,
语音+数据点,=TA001.TB01.TN01.BF01.US10.TD01,++BF01.US10.,,
卫生间烘手器防水插座,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N8,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N10,
一位单控暗开关,=TA001.EY01.,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F3.SF01,
卷帘门插座,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N5,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N2.XD02,PS0107
J变径管件,=TA001.ST01.TS01.UN.UN41,,,
J通用管件,=TA001.ST01.TS01.UN.UN02,,,
AH6柜顶电源小母线,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.3,
W通用管件,=TA001.ST01.TT01.UN.UN07,,,
高天棚灯具 - 吊杆安装: BMX1-N2,=TA001.EY01.TE04.BF02.EA19,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N2.,HCL0104
变压器室2走道电话、网络系统,=TA001.TB01.TN01.BF01.US11,,,
庭院灯: WMX-N3,=TA001.TB01.FA01.BF01.US05.KF03,++BF01.US05.,,GL0107
智能单输入模块,=TA001.TB01.FA01.BF01.US06.KF01,++BF01.US06.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG06,MDS0110
照明灯具: SMX1-N2,=TA001.EY01.TE04.BF01.US05.EA07,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0109
语音+数据点,=TA001.TB01.TN01.BF01.US07.TD03,++BF01.US07.,,
管理房双电源切换照明配电箱（备） SMX1,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.8,
变压器室2照明系统,=TA001.EY01.TE04.BF01.US10,,,
高压配电室照明系统,=TA001.EY01.TE04.BF01.US06,,,
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA15,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG05.,SSL0203
安全照明灯: MX1-N3,=TA001.EY01.TE04.BF01.US11.EA01,++BF01.US11.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3.BG03.,SSL0103
J三通管件,=TA001.ST01.TS01.UN.UN36,,,
出水闸门配电箱 P2,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N6.XD03,PS0103
浮球液位开关1,=TA001.BJ01.TS01.BL09,++BF02.,,
格栅间检修箱 JX6,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.11.1.,MB0401
变压器室2走道火灾报警系统,=TA001.TB01.FA01.BF01.US11,,,
进水闸门螺杆启闭机,=TA001.BJ01.IN01.QB02,++BF02.,,
壁灯 - 托架: BMX2-N1,=TA001.EY01.TE04.BF02.EA05,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N1.,AGL0104
一位单控暗开关,=TA001.EY01.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F1.SF01,
地板单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N1.XD03,PS0203
语音+数据点,=TA001.TB01.TN01.BF01.US09.TD02,++BF01.US09.,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.5,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N4.XD01,PS0111
格栅除污机: GK6-1,=TA001.BJ01.IN01.CW1,++BF02.US02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.3.1.,DM0101
门厅照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2,
报警器,=TA001.TB01.FA01.ALRM,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1.BG02,MDS0120
0.4KV出线,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O,
进水闸门螺杆启闭机,=TA001.BJ01.IN01.QB01,++BF02.,,
母联,,,===DY2.AH12.H02.ZB2.DP7.1,
低压配电间火灾报警系统,=TA001.TB01.FA01.BF01.US09,,,
管形母线桥架1配件,=TA001.EY01.TY01.UF.UN04,,,
照明灯具: SMX1-N6,=TA001.EY01.TE04.BF01.US09.EA03,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG02.,SSL0307
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF12,,,AVA0105
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.4,
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0102,++BF02.US02.,,FLS0102
3#水泵电机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O.1.1.1,
10KV进线2,,,===DY2,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US09.BQ02,++BF01.US09.,,MDS0103
格栅除污机控制柜 GK6,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.3,
摄像机 - 壁装: 6 寸,=TA001.TB01.VS01.SEVI008,++BF02.US02.,,CCTV0106
低压配电室照明2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7,
声光报警器,=TA001.TB01.FA01.BF02.SG03,++BF02.,,
超声波液位计LT1,=TA001.BJ01.TS01.BL01,++BF02.US02.,,ULG0101
语音+数据点5,=TA001.TB01.TN01.BF02.TD05,++BF02.,,
DP8-DP10 0.4KV进线,,,===DY2.AH12.H02.ZB2.D1DP12.3,
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA12,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG02.,SSL0411
XBDZ-5（风机）: K5-4,=TA001.TL01.BF02.GQ04,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F4.,AF0204
智能单输入模块,=TA001.TB01.FA01.BF01.US09.KF02,++BF01.US09.,,
格栅机间,,++BF02.US02,,BF02US02
语音+数据点,=TA001.TB01.TN01.BF01.US07.TD02,++BF01.US07.,,
J通用管件,=TA001.ST01.TS01.UN.UN27,,,
管理房风机控制箱 K4,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10,
照明灯具: MX1-N2,=TA001.EY01.TE04.BF01.US01.EA04,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG01.,FPL0115
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ10,++BF01.US03.,,ISD0108
接地端子箱低压配电室2,=TA001.EY01.TE03.,++BF01.US05.,,ETB0104
热水器防水型插座,=TA001.EY01.TE03.,++BF01.US04.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N7.XD01,PS0401
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N8,
浮球阀门,=TA001.BJ01.FQFM,,,
变压器室照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N4,
复合感烟感温探测器: 点型,=TA001.TB01.FA01.FRSN.BQ18,,,ITD0102
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA01,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0401
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF14,,,AVA0107
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N6,
雨量计,=TA001.BJ01.RN00,,,
安全照明灯: MX1-N3,=TA001.EY01.TE04.BF01.US08.EA02,++BF01.US08.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3.BG02.,SSL0105
雨水泵_GK3-1,=TA001.BJ01.PP01.GP03,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O.1.1.1.,CP0103
工艺系统 出水,=TA001.BJ01.OU01,,,
二次设备间、高压配电室插座,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N3,
总线式消防电话插孔,=TA001.TB01.TN01.BF02.XG01,++BF02.,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.16,
管理房插座配电箱 CZX1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3,
水泵软启柜 RQ2,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1.,
给水管1,=TA001.ST01.TS01.WM01,,,
语音+数据点,=TA001.TB01.TN01.BF01.US09.TD04,++BF01.US09.,,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN09,,,
智能光电感烟探测器,=TA001.TB01.FA01.BF02.BQ01,++BF02.,,ISD0101
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.7,
泵站3~5轴双电源切换照明配电箱（常） BMX1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5,SDB0101
出水闸门配电箱 P2,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.,DB0601
壁灯 - 托架: BMX2-N2,=TA001.EY01.TE04.BF02.EA08,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N2.,AGL0107
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA13,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG02.,SSL0412
语音+数据点6,=TA001.TB01.TN01.BF02.TD06,++BF02.,,
J三通管件,=TA001.ST01.TS01.UN.UN33,,,
壁灯: BMX1-N4,=TA001.EY01.TE04.BF02.EA26,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N4.,WL0104
2#水泵电机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1.1.1,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.11,
J通用管件,=TA001.ST01.TS01.UN.UN29,,,
高天棚灯具 - 吊杆安装: BMX1-N2,=TA001.EY01.TE04.BF02.EA22,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N2.,HCL0103
5#雨水泵按钮箱 GK5,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1.1.,WPB0105
一位单控暗开关,=TA001.EY01.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F2.SF01,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US07.BQ01,++BF01.US07.,,ITD0101
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N11,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N6,
泵房,,++BF02.US01,,BF02US01
集水池电动闸门 ZM3,=TA001.BJ01.IN01.FQ03,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.1.,GT0103
1回路主进线,,,===DY1.AH1,
AH5柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0101
AH3柜线路,,,===DY1.AH1.AH3,
AH4柜线路,,,===DY1.AH1.AH4,
备用,,,===DY1.AH1.AH6,
AH11柜进线,=TA001.EY01.TE01., ++BF01.US06.,===DY2.AH12.,HSC0502
2回路主进线,,,===DY2.AH12,
AH8柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0104
AH11柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0502
备用,,,===DY2.AH12.AH7,
AH9柜线路,,,===DY2.AH12.AH9,
AH10柜线路,,,===DY2.AH12.AH10,
AH2柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0501
AH2柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0501
AH5柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.H01.,HSC0101
干式电力变压器,,++BF01.US07.,===DY1.AH1.H01.ZB1.,TR0101
AH8柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.H02.,HSC0104
干式电力变压器,,++BF01.US10.,===DY2.AH12.H02.ZB2.,TR0102
